country,essround,loading_pc1_imbgeco,loading_pc1_imueclt,loading_pc1_imwbcnt,expl_var_pc1
United Kingdom,2014,0.5585239424927636,0.5797909601539044,0.5932060756483818,0.816461952955869
United Kingdom,2016,0.5641639588204456,0.5774181316370984,0.5901756762395117,0.8160675180004107
United Kingdom,2018,0.5659631103537401,0.5778997315814677,0.5879775998767193,0.8355896161039169
United Kingdom,2020,0.5723646653448679,0.5709350133199668,0.588584658677056,0.807461854179792
United Kingdom,2022,0.5626241756903,0.5767016282424594,0.5923421890354479,0.8102169662159386
Greece,2002,0.5681335137071576,0.591968611218241,0.5716620277183945,0.7465424004299673
Greece,2008,0.5725656551341584,0.5870740435284026,0.5722871988573597,0.8208587286590876
Greece,2010,0.5778709494198873,0.587860582978595,0.566114035152481,0.8102643520352705
Greece,2012,NA,NA,NA,NA
Greece,2014,NA,NA,NA,NA
Greece,2016,NA,NA,NA,NA
Greece,2018,NA,NA,NA,NA
Greece,2020,0.5757708032283032,0.5898104901905535,0.5662257216084531,0.8168951249656834
Greece,2022,0.5795040034453355,0.602325252619533,0.5489803275597813,0.7718779762048948
Hungary,2002,0.5789272866428952,0.5643304403042242,0.5885357686040295,0.7107212993593026
Hungary,2008,0.5734221628951919,0.5666832191877845,0.5916562787561453,0.7509567418445021
Hungary,2010,0.5817425104095644,0.5583152255906275,0.5914894423876597,0.7466023344944953
Hungary,2012,0.5867816892864005,0.5543359815561523,0.5902532241931217,0.7794978271142616
Hungary,2014,0.5802270620922064,0.568414080295596,0.5833026570636877,0.7579711368142747
Hungary,2016,0.5777472072709158,0.5765782093628147,0.5777246169055181,0.7935800207255135
Hungary,2018,0.578813912678552,0.5833473924586092,0.5698072254732184,0.8131731639008172
Hungary,2020,0.5761185246470678,0.5769879021170289,0.5789407624006757,0.8329295914873056
Hungary,2022,0.5800544553036816,0.5843736735545303,0.5674894171160659,0.84250014598734
Ireland,2002,0.5710310800008929,0.57432979155492625,0.5865737772910488,0.7719436606262193
Ireland,2008,0.5623189828238135,0.5751215009941223,0.5941654825469576,0.7883139551918968
Ireland,2010,0.5598608566861634,0.5811585132954598,0.5906018993999649,0.8192899294702631
Ireland,2012,0.5684564375521378,0.5739232674388679,0.5894653184860212,0.8316639341481574
Ireland,2014,0.572036752128249,0.5780747889745339,0.5818964620674474,0.7985794707792626
Ireland,2016,0.5721589060489766,0.5738774423236329,0.5859171165113063,0.8154386207860882
Ireland,2018,0.5736986933308246,0.5699211055281224,0.5882684274581697,0.8168371964454065
Ireland,2020,0.5627547300094139,0.5803573330982463,0.5886361183032545,0.7903358055420605
Ireland,2022,0.5704142481034697,0.5791209204110405,0.5824487489065645,0.8703809171804296
Israel,2002,0.5778435845606928,0.5669550352270513,0.5870764684542744,0.7330298320804196
Israel,2008,0.5663818553596108,0.5849019030429184,0.5806043039249513,0.7861975194732446
Israel,2010,0.5703746750452081,0.5912454834226774,0.5701767343546715,0.7588258598200226
Israel,2012,0.5740217739835387,0.6086389832603861,0.5477751281762929,0.7218799511247267
Israel,2014,0.55730123077008,0.5854618252073168,0.5887697252806665,0.7239939520408425
Israel,2016,0.5604304338983288,0.5882340753746584,0.5830080628333126,0.7675901789889531
Israel,2018,NA,NA,NA,NA
Israel,2020,0.5638173815323436,0.587031361844475,0.5809510654891965,0.7274476545418447
Israel,2022,NA,NA,NA,NA
Italy,2002,0.5847464003546755,0.6000894387460569,0.5458610746130301,0.6148914282134939
Italy,2008,NA,NA,NA,NA
Italy,2010,NA,NA,NA,NA
Italy,2012,0.5827210622359011,0.5646329156700045,0.5844876681065674,0.791653001637634
Italy,2014,NA,NA,NA,NA
Italy,2016,0.5790095398302719,0.5763532722061854,0.5766843663588943,0.8300692763187468
Italy,2018,0.5784482861092544,0.5819227534410009,0.5716323025555068,0.837648861280422
Italy,2020,0.5753725706372169,0.579573440131686,0.5770970736819274,0.8256229902479416
Italy,2022,0.5754435091098419,0.5738678427796143,0.5827010098213513,0.8228778913684774
Luxembourg,2002,0.5715244198380798,0.5966955332854058,0.56330655782264,0.6199457764135577
Luxembourg,2008,NA,NA,NA,NA
Luxembourg,2010,NA,NA,NA,NA
Luxembourg,2012,NA,NA,NA,NA
Luxembourg,2014,NA,NA,NA,NA
Luxembourg,2016,NA,NA,NA,NA
Luxembourg,2018,NA,NA,NA,NA
Luxembourg,2020,NA,NA,NA,NA
Luxembourg,2022,NA,NA,NA,NA
Netherlands,2002,0.5837651770243608,0.5796648449190279,0.5685128720255295,0.6402343234350316
Netherlands,2008,0.5778435500167202,0.5764781247630997,0.5777281396761752,0.6621320259120744
Netherlands,2010,0.5725885194498898,0.5676130852966683,0.5915722887307858,0.654310019727181
Netherlands,2012,0.5718454912870969,0.5774685825581384,0.582685824654173,0.6736749853086962
Netherlands,2014,0.5729393496109849,0.5723953507348332,0.5866038391661692,0.6727153206334138
Netherlands,2016,0.5673180642606307,0.5848134043575933,0.5797788337351172,0.6959648919550362
Netherlands,2018,0.5711001956293876,0.5761752671089121,0.5846936190211489,0.6640197406669913
Netherlands,2020,0.5645545166787537,0.581334427791361,0.5859423868966216,0.6916504435046671
Netherlands,2022,0.5641409085676733,0.5784481559178799,0.589188226457084,0.6798175684749874
Norway,2002,0.565047042400921,0.5841445226249959,0.5826637251118245,0.6982139347924408
Norway,2008,0.5699331230307028,0.5708990247146084,0.5909742285856283,0.7351286804064279
Norway,2010,0.5600151229593986,0.5908977321658796,0.5807089909567356,0.7165661456276535
Norway,2012,0.553219054829181,0.5939498359790666,0.5840995375056786,0.7147015184651448
Norway,2014,0.5603563074327441,0.5908503151540733,0.5804280436046074,0.7126612124804149
Norway,2016,0.5655746880663758,0.5865243636046766,0.5797537780098987,0.7390893870353282
Norway,2018,0.5674728840775949,0.5834894956782928,0.5809600109041487,0.7352781645682305
Norway,2020,0.5542203421492804,0.5891043991833095,0.5880440623038432,0.740784908119451
Norway,2022,0.5571873233677331,0.5829239410420255,0.5913898592623434,0.7158694588543489
