variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Finland,2002,0.7439344925100495,0.07382100383555006,0.32036499247307226,0.4077375875959408,0.7425818227421401,0.18402919392750705
imbgeco,Finland,2008,0.7765265800913628,0.02520336382631232,0.30558663773212486,0.3984073544284856,0.725082969410894,0.11679546787154418
imbgeco,Finland,2010,0.7722047200123241,0.08267820469105464,0.31375050919387387,0.3867575621725449,0.7541390055884428,0.12116878181723097
imbgeco,Finland,2012,0.774285409429821,0.03759453321779276,0.3104282058578573,0.3998860089617233,0.7065006468623589,0.18994154177501513
imbgeco,Finland,2014,0.776414069639425,0.065717494780497,0.334125561620058,0.41987074804018526,0.6924641140298942,0.2788841355210771
imbgeco,Finland,2016,0.7895449454424873,0.043131290851500914,0.34506859438281756,0.4314791476421189,0.6731955753520071,0.25835252764155775
imbgeco,Finland,2018,0.8227172091228263,0.005412261501784244,0.3405911875516525,0.42632306710070583,0.6914625948672721,0.20551229970510454
imbgeco,Finland,2020,0.8157525534502785,0.07999464051075798,0.34431743267074455,0.44619462445363123,0.6517112508958329,0.14772165618731822
imbgeco,Finland,2022,0.8368177117110822,0.13170409391982646,0.3399541823113492,0.4357638718627646,0.7020042592059783,0.09065488272288263
imbgeco,France,2002,0.659174906691923,0.0018873166343675862,0.35837170224953496,0.43358060278713256,0.6406180001962938,0.2538127744015941
imbgeco,France,2008,0.7154351465480902,0.05318173589319173,0.35167081155823543,0.4091801760244036,0.6886822004770732,0.20010203242440333
imbgeco,France,2010,0.7043784821486241,0.0795566609384924,0.3631206879539417,0.41273692081788965,0.6650785583546169,0.20187567206618767
imbgeco,France,2012,0.7289473692340467,0.08063956148458562,0.3901519919255818,0.42253480447766506,0.6915801132474582,0.24902269893161721
imbgeco,France,2014,0.7859120604390205,0.10569066428552852,0.4200624864797215,0.4268295622258664,0.65423277295301685,0.19480053954318713
imbgeco,France,2016,0.752380763612994,0.03463625788791269,0.38662991754602444,0.4253764591996838,0.6777833318187994,0.296888761900995
imbgeco,France,2018,0.7525547485917272,0.0035685322351129757,0.3812370564818753,0.43165568936858706,0.6735558453552193,0.25187005542393154
imbgeco,France,2020,0.7437992309708991,0.07195794583701325,0.3820343395869564,0.436875198433027,0.6661838140468441,0.1864062555234102
imbgeco,France,2022,0.7530037560510601,0.06310369170958606,0.38594941073135014,0.4233453259733235,0.6973869894130043,0.1742562277649148
imbgeco,United Kingdom,2002,0.7132740252047984,0.12153865888075135,0.35075450621180515,0.4098725136224031,0.703084096727578,0.10125794457025881
